,  NÚMERO DE INCENDIO,FUENTE,ZONA,PARAJE,MUNICIPIO,COORDENADAS GEOGRÁFICAS NORTE,COORDENADAS GEOGRÁFICAS OESTE,CAUSA,FECHA DE REGISTRO,ESTRATO AFECTADO FORESTAL HOJARASCA,ESTRATO AFECTADO FORESTAL PASTO,ESTRATO AFECTADO FORESTAL ARBUSTO,ESTRATO AFECTADO FORESTAL RENUEVO,ESTRATO AFECTADO NO FORESTAL CULTIVOS,ESTRATO AFECTADO NO FORESTAL PASTIZAL,ESTRATO AFECTADO NO FORESTAL OTROS,SUPERFICIE AFECTADA TOTAL,NÚMERO DE PARTICIPANTES
63,71,OPD BLP,ZP,SAN JOSE DE LA MONTAÑA,ZAPOPAN,"""N 20° 37´ 38.7""""""","""W 103° 30´ 09.1""""""",INTENCIONAL,01/04/2018,1.2,,,,,,,1.2,24
64,72,OPD BLP,ZP,SAN JOSE DE LA MONTAÑA,ZAPOPAN,"""N 20° 37´ 36.6""""""","""W 103° 30´ 16.6""""""",INTENCIONAL,02/04/2018,3.5,,,,,,,3.5,46
65,73,OPD BLP,ZP,SAN JOSE DE LA MONTAÑA,ZAPOPAN,"""N 20° 37´ 35.7""""""","""W 103° 30´ 17.9""""""",INTENCIONAL,03/04/2018,0.06,,,,,,,0.06,31
66,74,OPD BLP,ZP,SAN JOSE DE LA MONTAÑA,ZAPOPAN,"""N 20° 36´ 49.7""""""","""W 103° 29´ 54.1""""""",INTENCIONAL,03/04/2018,,0,,,,,,0,14
67,75,OPD BLP,ZP,CERRO DE LA BANDERA,ZAPOPAN,"""N 20° 59´ 00.6""""""","""W 103° 48´ 02.1""""""",QUEMA AGRICOLA,04/04/2018,0.23,,,,,,,0.23,32
68,76,OPD BLP,ZI,LAS PIEDROTAS,TALA,"""N 20° 39´ 57.4""""""","""W 103° 40´ 55.4""""""",INTENCIONAL,05/04/2018,,,,,,0.28,,0.28,6
69,77,OPD BLP,ZI,EL REVENTÓN,ZAPOPAN,"""N 20° 43´ 39.2""""""","""W 103° 34´ 29.4""""""",INTENCIONAL,05/04/2018,,,,,,1.1,,1.1,67
70,78,OPD BLP,ZI,CORRAL FALSO,TALA,"""N 20° 40´ 16.0""""""","""W 103° 40´ 36.4""""""",INTENCIONAL,05/04/2018,,,,,,5.2,,5.2,33
71,79,OPD BLP,ZP,CERRO DE LA BANDERA,ZAPOPAN,"""N 20° 41´ 27.0""""""","""W 103° 28´ 47.0""""""",QUEMA AGRICOLA,06/04/2018,2.78,,,,,,,2.78,62
72,80,OPD BLP,ZI,EL TECNOLOGICO,TALA,"""N 20° 38´ 47.8""""""","""W 103° 41´ 11.0""""""",INTENCIONAL,07/04/2018,,,,,,11.2,,11.2,9
